marque,liens_marque,categorie,reviews,pays
Younited Credit,www.younited-credit.com,bank,68096.0,FR
Cofidis,cofidis.fr,bank,25832.0,FR
BoursoBank,boursobank.com,bank,20659.0,FR
Qonto,qonto.com,bank,15887.0,FR
Orange Bank,orangebank.fr,bank,15025.0,FR
Sumeria,sumeria.eu,bank,14111.0,FR
Floabank,floabank.fr,bank,10538.0,FR
Anytime,anyti.me,bank,7232.0,FR
Fortuneo,fortuneo.fr,bank,7182.0,FR
Pixpay,pixpay.eu,bank,6934.0,FR
Monabanq,www.monabanq.com,bank,6289.0,FR
Immoprêt,immopret.fr,bank,5326.0,FR
Hello bank! France,hellobank.fr,bank,5024.0,FR
SOFINCO,sofinco.fr,bank,4102.0,FR
Shine,shine.fr,bank,3911.0,FR
Ma French Bank,www.mafrenchbank.fr,bank,3849.0,FR
Kard,kard.eu,bank,1959.0,FR
floapay.com,floapay.com,bank,1246.0,FR
Money Walkie,moneywalkie.com,bank,1142.0,FR
Vybe,www.vybecard.com,bank,918.0,FR
helios.do,helios.do,bank,877.0,FR
Blank,blank.app,bank,809.0,FR
Green-Got,green-got.com,bank,659.0,FR
CIB Formation,cibformation.fr,bank,560.0,FR
bcfinance.fr,bcfinance.fr,bank,555.0,FR
France SCPI - Le site tout en ligne de la SCPI,www.francescpi.com,bank,333.0,FR
Louvre Banque Privée,bpe.fr,bank,239.0,FR
Deblock,deblock.com,bank,235.0,FR
propulsebyca.fr,propulsebyca.fr,bank,225.0,FR
Cofidis - O Cr&eacute;dito Por Telefone,cofidis.pt,bank,119.0,FR
la Nef,www.lanef.com,bank,114.0,FR
Britline,britline.com,bank,104.0,FR
PennyPet,pennypet.io,bank,103.0,FR
ConnectBanque,connectbanque.com,bank,58.0,FR
Moneco,moneco.app,bank,52.0,FR
01 Banque en Ligne,01banque-en-ligne.fr,bank,51.0,FR
Plusq1taux Landes Pays Basque,plusq1taux.com,bank,19.0,FR
MoneyNow,moneynow.fr,bank,14.0,FR
Idéal Prêt,idealpret.fr,bank,9.0,FR
Changer Ma Banque,changermabanque.com,bank,3.0,FR
