categorie_bis,companies,noms,titre_com,commentaire,reponses,notes,date_experience,date_commentaire,site,nombre_pages,date_scrap,verified,année_experience,mois_experience,jour_experience,année_commentaire,mois_commentaire,jour_commentaire,leadtime_com_exp,nombre_caractères,nombre_maj,nombre_car_spé,caractères_spé,emojis_positifs_count,emojis_negatifs_count,commentaire_text,langue_bis
bank,Younited Credit ,Charbel EL ASMAR,Excellent customer service," March 09, 2020",,0.0,,2020-03-09,https://www.trustpilot.com/review/www.younited-credit.com?page=22,38,10-09-2024,1,0,0,0,2020,3,9,,15,1,1,,0,0,"march 09, 2020",cy
bank,Fortuneo ,Coppaloni,Super l’application et simple et…,Super l’application et simple et surtout pas de frais!,"Bonjour, Merci pour votre commentaire et votre confiance en Fortuneo. Nous sommes heureux de voir que nous avons pu répondre à vos besoins et de savoir que vous avez été satisfait de nos services. Très bonne journée, L’Équipe Fortuneo.",0.0,,2024-02-22,https://www.trustpilot.com/review/fortuneo.fr?page=2,10,10-09-2024,0,0,0,0,2024,2,22,,54,1,2,’,0,0,super l application et simple et surtout pas de frais,fr
bank,Qonto ,Association le.relais.atypique,Simple,"Simple, rapide et efficace 👏 je valide","Bonjour, Nous sommes ravis que vous soyez satisfait de notre produit et nos services, n'hésitez pas à revenir vers nous pour toute question. Très bonne journée à vous ! 🤩Caroline - Executive Care Team",0.0,,2023-06-19,https://www.trustpilot.com/review/qonto.com?page=14,30,10-09-2024,1,0,0,0,2023,6,19,,38,1,2,👏,1,0,"simple, rapide et efficace je valide",fr
bank,Orange Bank ,Marie Francoise,satisfaction si résultat constaté...,satisfaction,"Bonjour Marie Françoise,Merci pour votre commentaire, c'est un plaisir de pouvoir vous apporter satisfaction. Je vous souhaite une belle journée,Philippe",0.0,,2022-07-19,https://www.trustpilot.com/review/orangebank.fr?page=14,41,10-09-2024,0,0,0,0,2022,7,19,,12,0,0,,0,0,satisfaction,fr
bank,Sumeria ,Philbert,Service impeccable," June 30, 2022",,0.0,,2022-06-30,https://www.trustpilot.com/review/sumeria.eu?page=37,51,10-09-2024,1,0,0,0,2022,6,30,,14,1,1,,0,0,"june 30, 2022",fr
bank,Deblock ,Erwan Rey,Une super application !,"Une super application ! Très facile à prendre en main, transparente. Enfin une banque crypto friendly digne de ce nom !",,0.0,,2024-06-28,https://www.trustpilot.com/review/deblock.com?page=1,2,10-09-2024,0,0,0,0,2024,6,28,,119,3,4,,0,0,"une super application très facile à prendre en main, transparente. enfin une banque crypto friendly digne de ce nom",fr
bank,Cofidis ,Eric Decaux,"Simple, efficace, rapide.","Simple, efficace, rapide.Mais attention aux taux de crédits. de 5,8 à plus de 20%.C'est limite acceptable!",Bonjour Eric. Merci pour votre retour. Nos taux prennent en compte plusieurs facteurs en suivant une logique d'indexation avec la Banque Centrale Européenne. A très bientôt. Florian que l'équipe Cofidis.,0.0,,2020-11-03,https://www.trustpilot.com/review/cofidis.fr?page=16,16,10-09-2024,0,0,0,0,2020,11,3,,106,3,9,%',0,0,"simple, efficace, rapide.mais attention aux taux de crédits. de 5,8 à plus de 20 .c'est limite acceptable",fr
bank,Sumeria ,Raslooan,I like Account 😘,I like Lydia Account My best Account,,0.0,,2022-08-28,https://www.trustpilot.com/review/sumeria.eu?page=29,51,10-09-2024,1,0,0,0,2022,8,28,,36,5,0,,0,0,i like lydia account my best account,en
bank,Qonto ,Pierre Labbe,rapide simple efficace," March 20, 2022","Bonjour Pierre Labbe,Merci pour ces belles étoiles ⭐️Une bonne journée de l'équipe Qonto. Année Customer Success Team",0.0,,2022-03-20,https://www.trustpilot.com/review/qonto.com?page=22,30,10-09-2024,1,0,0,0,2022,3,20,,15,1,1,,0,0,"march 20, 2022",cy
bank,Qonto ,Melodi Bayar,I have not been able to use the company…,"I have not been able to use the company account for 4 days. The company has payments. I also told this to customer representatives. still no solution! You won't experience this in well-established banks. If you pay 29 euros a month and cannot make your payments on time, we cannot talk about a good service here...","Hello Melodi, We are sorry to hear that you had this experience. Our team has been in contact with you regarding the resolution of the problem. We remain at your disposal for any further enquiries at careteam@qonto.com",0.0,,2023-10-27,https://www.trustpilot.com/review/qonto.com?page=12,30,10-09-2024,0,0,0,0,2023,10,27,,314,5,11,'-,0,0,"i have not been able to use the company account for 4 days. the company has payments. i also told this to customer representatives. still no solution you won't experience this in well established banks. if you pay 29 euros a month and cannot make your payments on time, we cannot talk about a good service here...",en
bank,Younited Credit ,Sylvie,Parfait ..........," October 11, 2023","Bonjour,Nous vous remercions pour ce commentaire positif. En espérant que vous puissiez recommander Younited auprès de votre entourage.Excellente journée, Tracy",0.0,,2023-10-16,https://www.trustpilot.com/review/www.younited-credit.com?page=9,38,10-09-2024,1,0,0,0,2023,10,16,,17,1,1,,0,0,"october 11, 2023",sv
bank,Sumeria ,Alexandre,Just love it,I Just love it.,,0.0,,2022-05-20,https://www.trustpilot.com/review/sumeria.eu?page=43,51,10-09-2024,1,0,0,0,2022,5,20,,15,2,1,,0,0,i just love it.,sl
bank,Monabanq ,M   CHRISTOPHE V,Application mobile très simple…,"Application mobile très simple d'utilisation, clair et très pratique",,0.0,,2021-11-29,https://www.trustpilot.com/review/www.monabanq.com?page=2,4,10-09-2024,0,0,0,0,2021,11,29,,68,1,2,',0,0,"application mobile très simple d'utilisation, clair et très pratique",fr
bank,Sumeria ,Lassana,👍👍🤟🤟,👍👍🤟🤟cool,,0.0,,2022-06-22,https://www.trustpilot.com/review/sumeria.eu?page=38,51,10-09-2024,1,0,0,0,2022,6,22,,8,0,4,👍👍🤟🤟,2,0,cool,en
bank,Orange Bank ,Frédéric “PERSO” Dumortier,super service application top,super service application top attention souvent des bugs informatiques,"Bonjour Frédéric,Merci pour ce retour et pour votre remontée. Nous tâchons d'améliorer l'application au fur et à mesure des mises à jour. Belle journée, Elodie.",0.0,,2022-04-27,https://www.trustpilot.com/review/orangebank.fr?page=23,41,10-09-2024,0,0,0,0,2022,4,27,,70,0,0,,0,0,super service application top attention souvent des bugs informatiques,fr
bank,Sumeria ,Clément,good,good app but become paying,,0.0,,2022-07-01,https://www.trustpilot.com/review/sumeria.eu?page=37,51,10-09-2024,1,0,0,0,2022,7,1,,26,0,0,,0,0,good app but become paying,en
bank,Qonto ,Hans Walter Finckh,Hans Walter Finckh,Best bank ever seen,"Hallo Hans Walter Finckh,Vielen Dank für das positive Feedback! Es freut uns zu hören, dass unser Service Ihren Erwartungen entspricht. 😍",0.0,,2022-12-15,https://www.trustpilot.com/review/qonto.com?page=18,30,10-09-2024,0,0,0,0,2022,12,15,,19,1,0,,0,0,best bank ever seen,nl
bank,Britline ,Gabrielle Gache,The Britline team all speak perfect…,"The Britline team all speak perfect English and for an English person dealing with the very different and sometimes difficult French systems, they are an amazing team to have on your side! I recommend them to anyone who needs an account in France. My sister lives in Paris and is also with them! They are what ALL banks should be like! It has been a pleasure dealing with them over the last 15years!",,0.0,,2024-07-11,https://www.trustpilot.com/review/britline.com?page=1,5,10-09-2024,0,0,0,0,2024,7,11,,399,14,6,,0,0,"the britline team all speak perfect english and for an english person dealing with the very different and sometimes difficult french systems, they are an amazing team to have on your side i recommend them to anyone who needs an account in france. my sister lives in paris and is also with them they are what all banks should be like it has been a pleasure dealing with them over the last 15years",en
bank,Sumeria ,ff,Lydia is really great for transfer and…,"Lydia is really great for transfer and using it at your own bank account, easy fast and secure, really great",,0.0,,2022-05-14,https://www.trustpilot.com/review/sumeria.eu?page=44,51,10-09-2024,1,0,0,0,2022,5,14,,108,1,2,,0,0,"lydia is really great for transfer and using it at your own bank account, easy fast and secure, really great",en
bank,Anytime ,Herrmann herrmann,report to police,Today I am writing a report to police because anytime doesn‘t react on my messages and kept about 2400 eur without telling me ANYTHING. Just silence!,"Bonjour, Je suis navrée de l'incident rencontré avec nos services.Nous vous invitons à patienter, votre dossier est en cours de traitement auprès du service compétent.Nous ne bloquons jamais nos utilisateurs sans raison valable : la majorité du temps, ces demandes sont nécessaires pour nous assurer du bon fonctionnement du compte et vérifier l'origine des fonds reçus. Bien entendu, si à la suite de ces recherches il s'avère qu'il s'agit d'une erreur de notre part, votre compte sera débloqué au plus vite. De plus, en raison de la réglementation, nous ne sommes pas toujours en mesure de partager les raisons du blocage de votre compte, y compris avec les personnes titulaires des-dits comptes.Cordialement, Michèle - Anytime",0.0,,2022-01-10,https://www.trustpilot.com/review/anyti.me?page=9,14,10-09-2024,0,0,0,0,2022,1,10,,149,11,3,‘,0,0,today i am writing a report to police because anytime doesn t react on my messages and kept about 2400 eur without telling me anything. just silence,en
bank,Sumeria ,Collins,Super great,Wonderful bank,,0.0,,2023-06-12,https://www.trustpilot.com/review/sumeria.eu?page=17,51,10-09-2024,1,0,0,0,2023,6,12,,14,1,0,,0,0,wonderful bank,af
bank,Younited Credit ,Sandrine,Parfait,Super organisation.. Bravo,,0.0,,2016-12-22,https://www.trustpilot.com/review/www.younited-credit.com?page=36,38,10-09-2024,0,0,0,0,2016,12,22,,26,2,2,,0,0,super organisation.. bravo,fr
bank,Younited Credit ,Annie,Transaction simple et rapide dans le…,Transaction simple et rapide dans le respect du délai.Merci YounitedA.Digouin,,0.0,,2024-06-04,https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,10-09-2024,1,0,0,0,2024,6,4,,77,5,2,,0,0,transaction simple et rapide dans le respect du délai.merci youniteda.digouin,fr
bank,Younited Credit ,Papa Magoum,Service impeccable," February 03, 2021",,0.0,,2021-02-03,https://www.trustpilot.com/review/www.younited-credit.com?page=18,38,10-09-2024,1,0,0,0,2021,2,3,,18,1,1,,0,0,"february 03, 2021",en
bank,BoursoBank ,Stef,Smooth process,"Smooth process, very efficient and secured !",,0.0,,2024-03-26,https://www.trustpilot.com/review/boursobank.com?page=4,10,10-09-2024,0,0,0,0,2024,3,26,,44,1,2,,0,0,"smooth process, very efficient and secured",en
bank,Cofidis ,PAMELA OZKAN,Parfait,"Parfait, simple.","Bonjour Pamela,Merci beaucoup pour votre note et votre commentaire. Je vous souhaite une belle journée. Marion de l'équipe Cofidis.",0.0,,2022-05-16,https://www.trustpilot.com/review/cofidis.fr?page=8,16,10-09-2024,0,0,0,0,2022,5,16,,16,1,2,,0,0,"parfait, simple.",fr
bank,Younited Credit ,Mims,Rapide et efficace,Rapide et efficace. Merci Younited !,"Bonjour,Nous sommes enchantés de vous lire et ravis d’avoir contribué à la réalisation de votre projet.Bienvenue chez Younited.Excellente journée,Diane",0.0,,2022-06-19,https://www.trustpilot.com/review/www.younited-credit.com?page=7,38,10-09-2024,1,0,0,0,2022,6,19,,36,3,2,,0,0,rapide et efficace. merci younited,ro
